address,price,area,furnishing
"4 BHK Independent House for Sale in Science City Road, Ahmedabad","2.40 Cr ","15686 per sqft ",F
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","3.65 Cr ","8111 per sqft ",S
"8 BHK Independent House for Sale in Ambawadi, Ahmedabad","6 Cr ","9524 per sqft ",S
"2 BHK Independent House for Sale in Ahmedabad","70 Lac ","5833 per sqft ",R
"2 BHK Independent House for Sale in Chandkheda, Ahmedabad","42 Lac ","6000 per sqft ",U
"4 BHK Independent House for Sale in Bopal, Ahmedabad","15 Cr ","27778 per sqft ",R
"5 BHK Independent House for Sale in Ahmedabad","6 Cr ","7843 per sqft ",U
"5 BHK Independent House for Sale in Bapunagar, Ahmedabad","1.50 Cr ","75000 per sqft ",R
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","3.25 Cr ","13131 per sqft ",F
"4 BHK Independent House for Sale in Ahmedabad","2 Cr ","11111 per sqft ",R
"3 BHK Independent House for Sale in Rabari Colony, Amraiwadi, Ahmedabad","85 Lac ","18478 per sqft ",S
"3 BHK Independent House for Sale in Naranpura, Ahmedabad","2.50 Cr ","18519 per sqft ",F
"1 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","60 Lac ","6000 per sqft ",R
"4 BHK Independent House for Sale in Maninagar, Ahmedabad","80 Lac ","33333 per sqft ",R
"4 BHK Independent House for Sale in Motera, Ahmedabad","2.75 Cr ","13764 per sqft ",S
"3 BHK Independent House for Sale in Satellite Road, Ahmedabad","6 Cr ","19048 per sqft ",R
"1 BHK Independent House for Sale in Ahmedabad","12 Lac ","1714 per sqft ",U
"1 BHK Independent House for Sale in Lambha, Ahmedabad","55 Lac ","38462 per sqft ",U
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.50 Cr ","6667 per sqft ",U
"4 BHK Independent House for Sale in Motera, Ahmedabad","3.25 Cr ","10317 per sqft ",R
"3 BHK Independent House for Sale in India Colony, Bapunagar, Ahmedabad","28 Lac ","4242 per sqft ",F
"4 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","3 Cr ","8889 per sqft ",R
"2 BHK Independent House for Sale in Memnagar, Ahmedabad","55 Lac ","6111 per sqft ",S
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","2.80 Cr ","8889 per sqft ",S
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","2.15 Cr ","7152 per sqft ",U
"4 BHK Independent House for Sale in Isanpur, Ahmedabad","35 Lac ","1667 per sqft ",S
"2 BHK Independent House for Sale in Kathwada, Ahmedabad","35.4 Lac ","3450 per sqft ",S
"2 BHK Independent House for Sale in Isanpur, Ahmedabad","55 Lac ","7275 per sqft ",S
"5 BHK Independent House for Sale in Chandkheda, Ahmedabad","15 Cr ","17094 per sqft ",U
"3 BHK Independent House for Sale in Shela, Ahmedabad","2.10 Cr ","10179 per sqft ",R
"4 BHK Independent House for Sale in Shreyas Railway Crossing Road, Ahmedabad","3.60 Cr ","13333 per sqft ",F
"4 BHK Independent House for Sale in Palodia, Ahmedabad","3.51 Cr ","11143 per sqft ",F
"5 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","60 Lac ","2778 per sqft ",R
"8 BHK Independent House for Sale in Kalupur, Ahmedabad","60 Lac ","2667 per sqft ",F
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","3.50 Cr ","11929 per sqft ",S
"1 BHK Independent House for Sale in Isanpur, Ahmedabad","21.5 Lac ","3909 per sqft ",S
"1 BHK Independent House for Sale in Maninagar, Ahmedabad","2.50 Cr ","13550 per sqft ",U
"4 BHK Independent House for Sale in Bhavana Society, Ranip, Ahmedabad","1.05 Cr ","5419 per sqft ",S
"4 BHK Independent House for Sale in Shela, Ahmedabad","7.21 Cr ","9370 per sqft ",U
"2 BHK Independent House for Sale in Thaltej, Ahmedabad","1 Cr ","8889 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","2 Cr ","6349 per sqft ",R
"5 BHK Independent House for Sale in Odhav, Ahmedabad","80 Lac ","4489 per sqft ",R
"3 BHK Independent House for Sale in Vastral, Ahmedabad","1.43 Cr ","10593 per sqft ",R
"4 BHK Independent House for Sale in Sola Road, Ahmedabad","2.80 Cr ","16817 per sqft ",F
"2 BHK Independent House for Sale in Sanand, Ahmedabad","8 Cr ","32090 per sqft ",F
"4 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","3 Cr ","13889 per sqft ",U
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","2.95 Cr ","14251 per sqft ",S
"3 BHK Independent House for Sale in Sanand, Ahmedabad","2.75 Cr ","8488 per sqft ",U
"4 BHK Independent House for Sale in Shela, Ahmedabad","6.50 Cr ","16230 per sqft ",F
"4 BHK Independent House for Sale in Patel Society, Asarwa, Ahmedabad","2.80 Cr ","87500 per sqft ",F
"3 BHK Independent House for Sale in Usman Pura, Ahmedabad","1.25 Cr ","5051 per sqft ",N
"4 BHK Independent House for Sale in Shela, Ahmedabad","2.75 Cr ","8730 per sqft ",F
"4 BHK Independent House for Sale in Naranpura, Ahmedabad","5.25 Cr ","16204 per sqft ",F
"1 BHK Independent House for Sale in Ghodasar, Ahmedabad","45 Lac ","30000 per sqft ",R
"3 BHK Independent House for Sale in Paldi, Ahmedabad","55 Lac ","3492 per sqft ",S
"3 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","35 Lac ","1944 per sqft ",2
"3 BHK Independent House for Sale in Isanpur, Ahmedabad","57 Lac ","5556 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","8.75 Cr ","16204 per sqft ",F
"3 BHK Independent House for Sale in Hathijan, Ahmedabad","85 Lac ","4722 per sqft ",R
"3 BHK Independent House for Sale in Bhadaj, Ahmedabad","5 Cr ","12626 per sqft ",S
"3 BHK Independent House for Sale in Ghodasar, Ahmedabad","72 Lac ","8421 per sqft ",S
"4 BHK Independent House for Sale in Shahpur, Ahmedabad","50 Lac ","4739 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","2.75 Cr ","10185 per sqft ",S
"2 BHK Independent House for Sale in Chandkheda, Ahmedabad","69 Lac ","5750 per sqft ",R
"3 BHK Independent House for Sale in Shela, Ahmedabad","1.90 Cr ","9179 per sqft ",F
"5 BHK Independent House for Sale in Behrampura, Ahmedabad","80 Lac ","5926 per sqft ",S
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","8.10 Cr ","15000 per sqft ",F
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","1.35 Cr ","7500 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","62 Lac ","4052 per sqft ",R
"3 BHK Independent House for Sale in Sanand, Ahmedabad","5.50 Cr ","4873 per sqft ",S
"4 BHK Independent House for Sale in Science City, Ahmedabad","3.25 Cr ","11111 per sqft ",U
"3 BHK Independent House for Sale in Changodar, Ahmedabad","65 Lac ","2330 per sqft ",S
"5 BHK Independent House for Sale in Satellite, Ahmedabad","1.10 Cr ","7857 per sqft ",R
"4 BHK Independent House for Sale in Bopal, Ahmedabad","3.51 Cr ","14444 per sqft ",F
"5 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","12 Cr ","19871 per sqft ",F
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","1.17 Cr ","11207 per sqft ",R
"2 BHK Independent House for Sale in Thaltej, Ahmedabad","65 Lac ","5732 per sqft ",S
"2 BHK Independent House for Sale in C.P Nagar, Sola, Ahmedabad","1.20 Cr ","11111 per sqft ",R
"2 BHK Independent House for Sale in Ahmedabad","80 Lac ","5000 per sqft ",R
"4 BHK Independent House for Sale in Ambica Nagar, Sabarmati, Ahmedabad","85 Lac ","4250 per sqft ",R
"2 BHK Independent House for Sale in Mahadev Nagar, Ahmedabad","33 Lac ","2276 per sqft ",R
"1 BHK Independent House for Sale in Naroda, Ahmedabad","80 Lac ","7797 per sqft ",R
"4 BHK Independent House for Sale in Gita Mandir, Ahmedabad","2.50 Cr ","83333 per sqft ",R
"1 BHK Independent House for Sale in Ghodasar, Ahmedabad","45 Lac ","4167 per sqft ",R
"3 BHK Independent House for Sale in New CG Road, Ahmedabad","2.90 Cr ","12889 per sqft ",F
"4 BHK Independent House for Sale in Ranip, Ahmedabad","55 Lac ","5000 per sqft ",R
"4 BHK Independent House for Sale in Jivraj Park, Ahmedabad","1.70 Cr ","7265 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","8.50 Cr ","11111 per sqft ",U
"6 BHK Independent House for Sale in Dariyapur, Ahmedabad","1.71 Cr ","142500 per sqft ",R
"4 BHK Independent House for Sale in Chandkheda, Ahmedabad","90 Lac ","5051 per sqft ",R
"5 BHK Independent House for Sale in Ghodasar, Ahmedabad","85 Lac ","77273 per sqft ",N
"4 BHK Independent House for Sale in Shela, Ahmedabad","11 Cr ","33486 per sqft ",U
"2 BHK Independent House for Sale in Isanpur, Ahmedabad","50 Lac ","7937 per sqft ",R
"1 BHK Independent House for Sale in Gomtipur, Ahmedabad","16 Lac ","4938 per sqft ",R
"4 BHK Independent House for Sale in Science City, Ahmedabad","4.25 Cr ","18889 per sqft ",S
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","2.80 Cr ","9150 per sqft ",S
"2 BHK Independent House for Sale in Krishna Nagar, Saijpur Bogha, Ahmedabad","35 Lac ","7778 per sqft ",R
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","27 Lac ","2727 per sqft ",U
"6 BHK Independent House for Sale in Nava Vadaj, Ahmedabad","1 Cr ","4630 per sqft ",U
"4 BHK Independent House for Sale in Isanpur, Ahmedabad","1.60 Cr ","9558 per sqft ",F
"4 BHK Independent House for Sale in Naroda, Ahmedabad","2.50 Cr ","12358 per sqft ",F
"2 BHK Independent House for Sale in Maninagar East, Maninagar, Ahmedabad","80 Lac ","7111 per sqft ",R
"5 BHK Independent House for Sale in Sanathal, Ahmedabad","12 Cr ","16667 per sqft ",U
"5 BHK Independent House for Sale in Shanti Nagar, Usman Pura, Ahmedabad","2.50 Cr ","10000 per sqft ",S
"3 BHK Independent House for Sale in Science City, Ahmedabad","2.65 Cr ","12971 per sqft ",S
"3 BHK Independent House for Sale in Science City, Ahmedabad","4.50 Cr ","17857 per sqft ",F
"2 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","75 Lac ","6637 per sqft ",R
"4 BHK Independent House for Sale in Satellite, Ahmedabad","3.25 Cr ","11285 per sqft ",R
"2 BHK Independent House for Sale in Thakkarbapu Nagar, Ahmedabad","35 Lac ","3535 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1.75 Cr ","7778 per sqft ",3
"5 BHK Independent House for Sale in Hirawadi, Bapunagar, Ahmedabad","1.20 Cr ","6667 per sqft ",2
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.90 Cr ","11743 per sqft ",F
"4 BHK Independent House for Sale in Chandkheda, Ahmedabad","2.80 Cr ","5185 per sqft ",U
"3 BHK Independent House for Sale in Naroda, Ahmedabad","1.60 Cr ","8889 per sqft ",F
"3 BHK Independent House for Sale in Motera, Ahmedabad","1.30 Cr ","4044 per sqft ",S
"2 BHK Independent House for Sale in Sanand, Ahmedabad","3.71 Cr ","19537 per sqft ",S
"4 BHK Independent House for Sale in Isanpur, Ahmedabad","60 Lac ","4444 per sqft ",U
"4 BHK Independent House for Sale in Shahpur, Ahmedabad","43 Lac ","1911 per sqft ",S
"5 BHK Independent House for Sale in Ambli Bopal Road, Ahmedabad","8.61 Cr ","25579 per sqft ",F
"4 BHK Independent House for Sale in Science City, Ahmedabad","6.35 Cr ","13188 per sqft ",R
"4 BHK Independent House for Sale in Shayona City, Chanakyapuri, Ahmedabad","3.11 Cr ","9873 per sqft ",S
"4 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","7.50 Cr ","15152 per sqft ",F
"4 BHK Independent House for Sale in Satellite, Ahmedabad","1.35 Cr ","9259 per sqft ",R
"4 BHK Independent House for Sale in GokulDham, 132 Feet Ring Road, Ahmedabad","4.08 Cr ","11930 per sqft ",F
"4 BHK Independent House for Sale in Science City, Ahmedabad","4.50 Cr ","16129 per sqft ",S
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","2.70 Cr ","17241 per sqft ",R
"4 BHK Independent House for Sale in Vaishnodevi Cir, Ahmedabad","4.50 Cr ","11765 per sqft ",F
"4 BHK Independent House for Sale in Vastral, Ahmedabad","1.52 Cr ","14074 per sqft ",F
"3 BHK Independent House for Sale in Ranna Park, Nirnay Nagar, Ahmedabad","1.30 Cr ","9630 per sqft ",R
"3 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","3.50 Cr ","14675 per sqft ",R
"3 BHK Independent House for Sale in Rajendra Park, Meghani Nagar, Ahmedabad","72 Lac ","3200 per sqft ",R
"3 BHK Independent House for Sale in Narolgam, Ahmedabad","22 Lac ","2444 per sqft ",R
"1 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","38 Lac ","5278 per sqft ",U
"2 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","43 Lac ","4550 per sqft ",U
"5 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","1.17 Cr ","4333 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","3.70 Cr ","12496 per sqft ",F
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","7.50 Cr ","16835 per sqft ",S
"3 BHK Independent House for Sale in Science City, Ahmedabad","3.60 Cr ","14440 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1.75 Cr ","8750 per sqft ",U
"2 BHK Independent House for Sale in Dani Limda, Ahmedabad","20 Lac ","3704 per sqft ",R
"1 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","1.30 Cr ","7222 per sqft ",U
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","3.21 Cr ","11889 per sqft ",S
"5 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","1.86 Cr ","5439 per sqft ",U
"5 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","2.11 Cr ","5861 per sqft ",U
"2 BHK Independent House for Sale in Saroda, Ahmedabad","86.4 Lac ","3429 per sqft ",N
"3 BHK Independent House for Sale in Science City, Ahmedabad","4.50 Cr ","17857 per sqft ",F
"3 BHK Independent House for Sale in Nava Naroda, Ahmedabad","1.51 Cr ","11984 per sqft ",R
"5 BHK Independent House for Sale in Odhav, Ahmedabad","35 Lac ","1458 per sqft ",U
"2 BHK Independent House for Sale in Ambawadi, Ahmedabad","70 Lac ","5983 per sqft ",F
"4 BHK Independent House for Sale in Shela, Ahmedabad","6.50 Cr ","16230 per sqft ",F
"4 BHK Independent House for Sale in Science City, Ahmedabad","6.50 Cr ","22960 per sqft ",F
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","3 Cr ","8772 per sqft ",U
"5 BHK Independent House for Sale in Vaishno Devi, Ahmedabad","10 Cr ","6169 per sqft ",F
"3 BHK Independent House for Sale in Vastral, Ahmedabad","45 Lac ","3125 per sqft ",S
"4 BHK Independent House for Sale in Satellite, Ahmedabad","1.60 Cr ","9715 per sqft ",R
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","1.80 Cr ","10000 per sqft ",U
"3 BHK Independent House for Sale in Gota, Ahmedabad","2 Cr ","13889 per sqft ",R
"3 BHK Independent House for Sale in Kankaria, Ahmedabad","90 Lac ","60000 per sqft ",F
"3 BHK Independent House for Sale in Science City, Ahmedabad","2.90 Cr ","18734 per sqft ",R
"4 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","70 Lac ","7000 per sqft ",U
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","3 Cr ","9524 per sqft ",R
"5 BHK Independent House for Sale in Vaishnodevi Cir, Ahmedabad","7.50 Cr ","5952 per sqft ",F
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","3.51 Cr ","6056 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","4 Cr ","17778 per sqft ",F
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","2.35 Cr ","6528 per sqft ",U
"5 BHK Independent House for Sale in Shela, Ahmedabad","4 Cr ","8081 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","6.25 Cr ","10851 per sqft ",R
"3 BHK Independent House for Sale in Ghodasar, Ahmedabad","40 Lac ","4444 per sqft ",R
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","2.15 Cr ","7963 per sqft ",S
"3 BHK Independent House for Sale in Sanand, Ahmedabad","3.20 Cr ","22222 per sqft ",S
"4 BHK Independent House for Sale in Maninagar East, Maninagar, Ahmedabad","1.25 Cr ","5787 per sqft ",R
"4 BHK Independent House for Sale in Science City, Ahmedabad","3.50 Cr ","14957 per sqft ",F
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","2.50 Cr ","11338 per sqft ",R
"2 BHK Independent House for Sale in Moraiya, Ahmedabad","34.5 Lac ","3651 per sqft ",S
"3 BHK Independent House for Sale in Sola, Ahmedabad","2.30 Cr ","14603 per sqft ",F
"3 BHK Independent House for Sale in Bavla, Ahmedabad","42 Lac ","2685 per sqft ",U
"5 BHK Independent House for Sale in Sattadhar Char Rasta, Ahmedabad","5.50 Cr ","17118 per sqft ",F
"4 BHK Independent House for Sale in Thakkarbapu Nagar, Ahmedabad","1.50 Cr ","4762 per sqft ",S
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","4.75 Cr ","13194 per sqft ",S
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","2.11 Cr ","5861 per sqft ",S
"2 BHK Independent House for Sale in Mehmedabad, Ahmedabad","98.6 Lac ","3911 per sqft ",N
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.60 Cr ","12903 per sqft ",F
"5 BHK Independent House for Sale in Navrangpura, Ahmedabad","3.50 Cr ","66038 per sqft ",R
"2 BHK Independent House for Sale in Bapunagar, Ahmedabad","80 Lac ","5333 per sqft ",R
"3 BHK Independent House for Sale in Science City, Ahmedabad","3.20 Cr ","12261 per sqft ",R
"2 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","80 Lac ","11252 per sqft ",R
"1 BHK Independent House for Sale in Vastral, Ahmedabad","20 Lac ","3704 per sqft ",S
"7 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","9.50 Cr ","10556 per sqft ",F
"4 BHK Independent House for Sale in Gota, Ahmedabad","2.75 Cr ","10536 per sqft ",F
"5 BHK Independent House for Sale in Vastrapur, Ahmedabad","8.50 Cr ","19676 per sqft ",F
"5 BHK Independent House for Sale in Satellite, Ahmedabad","6.50 Cr ","16993 per sqft ",U
"4 BHK Independent House for Sale in Gota, Ahmedabad","3.10 Cr ","11676 per sqft ",U
"3 BHK Independent House for Sale in Palodia, Ahmedabad","2.71 Cr ","12341 per sqft ",F
"4 BHK Independent House for Sale in Thakkarbapu Nagar, Ahmedabad","50 Lac ","50000 per sqft ",R
"3 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","45 Lac ","90000 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","1.96 Cr ","10129 per sqft ",R
"7 BHK Independent House for Sale in Ram Nagar, Sabarmati, Ahmedabad","5 Cr ","20202 per sqft ",R
"3 BHK Independent House for Sale in Maninagar, Ahmedabad","3.50 Cr ","14141 per sqft ",N
"5 BHK Independent House for Sale in Kathwada Road, Ahmedabad","90 Lac ","3750 per sqft ",F
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","1.50 Cr ","16667 per sqft ",F
"5 BHK Independent House for Sale in Naroda, Ahmedabad","65 Lac ","3250 per sqft ",R
"7 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","1.25 Cr ","6944 per sqft ",R
"1 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","32 Lac ","5470 per sqft ",R
"3 BHK Independent House for Sale in Nehru Nagar, Ambawadi, Ahmedabad","1.60 Cr ","11852 per sqft ",R
"3 BHK Independent House for Sale in Jivraj Park, Ahmedabad","1.10 Cr ","7639 per sqft ",S
"3 BHK Independent House for Sale in Moraiya, Ahmedabad","55 Lac ","45833 per sqft ",R
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","6 Cr ","8120 per sqft ",U
"4 BHK Independent House for Sale in Paramdham Society, Bopal, Ahmedabad","2.80 Cr ","9573 per sqft ",F
"1 BHK Independent House for Sale in Mahadev Nagar, Ahmedabad","17 Lac ","4250 per sqft ",R
"4 BHK Independent House for Sale in Sughad, Ahmedabad","2 Cr ","8889 per sqft ",U
"4 BHK Independent House for Sale in Vastral, Ahmedabad","4 Cr ","13333 per sqft ",R
"2 BHK Independent House for Sale in Bapunagar, Ahmedabad","23 Lac ","2875 per sqft ",R
"4 BHK Independent House for Sale in Gurukul, Ahmedabad","6 Cr ","27778 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","1.70 Cr ","11243 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1.30 Cr ","7222 per sqft ",U
"4 BHK Independent House for Sale in Bodakdev, Ahmedabad","1.90 Cr ","11728 per sqft ",R
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","95 Lac ","5278 per sqft ",U
"4 BHK Independent House for Sale in Vatva, Ahmedabad","95 Lac ","6209 per sqft ",U
"3 BHK Independent House for Sale in Narolgam, Ahmedabad","68 Lac ","5904 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","2.85 Cr ","9314 per sqft ",S
"4 BHK Independent House for Sale in Vastral, Ahmedabad","3.65 Cr ","11265 per sqft ",F
"4 BHK Independent House for Sale in Bopal, Ahmedabad","1.90 Cr ","8796 per sqft ",F
"5 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","3.60 Cr ","10390 per sqft ",U
"2 BHK Independent House for Sale in Nikol, Ahmedabad","45 Lac ","6757 per sqft ",R
"2 BHK Independent House for Sale in Vastral, Ahmedabad","42 Lac ","4200 per sqft ",S
"4 BHK Independent House for Sale in New Maninagar, Ahmedabad","1.08 Cr ","6708 per sqft ",N
"4 BHK Independent House for Sale in I I M, Vastrapur, Ahmedabad","2.25 Cr ","10000 per sqft ",U
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","3 Cr ","16667 per sqft ",S
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","3.75 Cr ","18939 per sqft ",S
"3 BHK Independent House for Sale in Kasindra, Ahmedabad","75 Lac ","4318 per sqft ",R
"4 BHK Independent House for Sale in SG Highway, Ahmedabad","3.22 Cr ","7596 per sqft ",U
"2 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","45 Lac ","5000 per sqft ",N
"4 BHK Independent House for Sale in Nava Vadaj, Ahmedabad","85 Lac ","4830 per sqft ",R
"4 BHK Independent House for Sale in Shela, Ahmedabad","8 Cr ","12698 per sqft ",U
"3 BHK Independent House for Sale in Navrangpura, Ahmedabad","3.51 Cr ","11048 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","75 Lac ","3333 per sqft ",R
"5 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.60 Cr ","10390 per sqft ",U
"3 BHK Independent House for Sale in New Ranip, Ahmedabad","1.49 Cr ","8534 per sqft ",S
"4 BHK Independent House for Sale in Odhav, Ahmedabad","55 Lac ","4583 per sqft ",F
"2 BHK Independent House for Sale in Vatva, Ahmedabad","50 Lac ","5556 per sqft ",R
"2 BHK Independent House for Sale in Vasantkunj Society, Paldi, Ahmedabad","1.50 Cr ","9049 per sqft ",R
"5 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","16 Cr ","12698 per sqft ",F
"5 BHK Independent House for Sale in Memnagar, Ahmedabad","2.25 Cr ","12500 per sqft ",F
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","2.95 Cr ","12607 per sqft ",F
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","4.25 Cr ","9677 per sqft ",U
"3 BHK Independent House for Sale in Krishna Nagar, Saijpur Bogha, Ahmedabad","45 Lac ","4000 per sqft ",S
"6 BHK Independent House for Sale in Vatva, Ahmedabad","55 Lac ","1358 per sqft ",3
"5 BHK Independent House for Sale in Vaishno Devi, Ahmedabad","15 Cr ","15576 per sqft ",U
"3 BHK Independent House for Sale in Nava Vadaj, Ahmedabad","2.41 Cr ","20083 per sqft ",R
"4 BHK Independent House for Sale in Motera, Ahmedabad","2.40 Cr ","5926 per sqft ",R
